NCB,ISIN,ISSUER
DE,XS0982019126,innogy Finance B.V.
DE,XS0997941355,K+S Aktiengesellschaft
DE,XS1015217703,BMW Finance N.V.
DE,XS1017833242,BASF SE
DE,XS1045386494,Deutsche Bahn Finance Gmbh
DE,XS1069836077,Linde Finance B.V.
DE,XS1074208270,EnBW International Finance BV
DE,XS1084563615,Robert Bosch GmbH
DE,XS1084874533,Robert Bosch GmbH
DE,XS1105276759,BMW Finance N.V.
DE,XS1121177767,Bertelsmann SE  KGaA
DE,XS1135309794,Bayer Capital Corp. B.V.
DE,XS1167644407,Volkswagen Intl Finance N.V.
DE,XS1167667283,Volkswagen Intl Finance N.V.
DE,XS1168962063,BMW Finance N.V.
DE,XS1170787797,Evonik Industries AG
DE,XS1191116174,Infineon Technologies AG
DE,XS1203941775,METRO AG
DE,XS1234248919,Würth Finance International BV
DE,XS1243251375,Eurogrid GmbH
DE,XS1284570626,Merck Financial Services GmbH
DE,XS1309518998,Deutsche Bahn Finance Gmbh
DE,XS1315101011,Eurogrid GmbH
DE,XS1316420089,Deutsche Bahn Finance Gmbh
DE,XS1346695437,alstria office REIT-AG
DE,XS1363560977,BMW Finance N.V.
DE,XS1372911690,Deutsche Bahn Finance Gmbh
DE,XS1377745937,Covestro AG
DE,XS1377763161,Covestro AG
DE,XS1382791975,Deutsche Telekom Intl Fin.B.V.
DE,XS1382792197,Deutsche Telekom Intl Fin.B.V.
DE,XS1387174375,HeidelbergCement AG
DE,XS1388661735,Deutsche Post AG
DE,XS1396261338,BMW Finance N.V.
DE,XS1396285279,Eurogrid GmbH
DE,XS1397134609,Linde Finance B.V.
DE,XS1400165350,Bertelsmann SE  KGaA
DE,XS1425274484,HeidelbergCement AG
DE,XS1441837546,Deutsche Bahn Finance Gmbh
DE,XS1451539487,Deutsche Bahn Finance Gmbh
DE,XS1488418960,Henkel AG  KGaA
DE,XS1493724584,Deutsche Bahn Finance Gmbh
DE,XS1501363425,LANXESS AG
DE,XS1501367921,LANXESS AG
DE,XS1518704900,Linde Finance B.V.
DE,XS1524573752,Südzucker Intl Finance B.V.
DE,XS1529515584,HeidelbergCement AG
DE,XS1531060025,Knorr-Bremse AG
DE,XS1548436473,BMW Finance N.V.
DE,XS1554456613,LEG Immobilien AG
DE,XS1557095459,Deutsche Telekom Intl Fin.B.V.
DE,XS1557095616,Deutsche Telekom Intl Fin.B.V.
DE,XS1557096267,Deutsche Telekom Intl Fin.B.V.
DE,XS1586555861,Volkswagen Intl Finance N.V.
DE,XS1586555945,Volkswagen Intl Finance N.V.
DE,XS1589881785,BMW Finance N.V.
DE,XS1595704872,innogy Finance B.V.
DE,XS1611167856,HELLA GmbH & Co. KGaA
DE,XS1616410061,E.ON SE
DE,XS1616411036,E.ON SE
DE,XS1616411119,E.ON SE
DE,XS1617898363,Deutsche Telekom Intl Fin.B.V.
DE,XS1626600040,Deutsche Bahn Finance Gmbh
DE,XS1689523840,Brenntag Finance B.V.
DE,XS1702729275,innogy Finance B.V.
DE,XS1718417717,BASF SE
DE,XS1718418103,BASF SE
DE,XS1724873275,Südzucker Intl Finance B.V.
DE,XS1732232340,Deutsche Telekom Intl Fin.B.V.
DE,XS1734533372,Deutsche Post AG
DE,XS1747444245,BMW Finance N.V.
DE,XS1747444831,BMW Finance N.V.
DE,XS1752475720,Deutsche Bahn Finance Gmbh
DE,XS1761785077,innogy Finance B.V.
DE,XS1772374770,Deutsche Bahn Finance Gmbh
DE,XS1788515788,METRO AG
DE,XS1808482746,"Hannover Rueck SE, Hanover"
DE,XS1820748538,LANXESS AG
DE,XS1823246712,BMW Finance N.V.
DE,XS1823246803,BMW Finance N.V.
DE,XS1823502577,BASF SE
DE,XS1823502650,BASF SE
DE,XS1823518730,Würth Finance International BV
DE,XS1828032513,Deutsche Telekom Intl Fin.B.V.
DE,XS1828032786,Deutsche Telekom Intl Fin.B.V.
DE,XS1828033834,Deutsche Telekom Intl Fin.B.V.
DE,XS1829217345,innogy Finance B.V.
DE,XS1829217428,innogy Finance B.V.
DE,XS1837288494,Knorr-Bremse AG
DE,XS1840614736,Bayer Capital Corp. B.V.
DE,XS1840614900,Bayer Capital Corp. B.V.
DE,XS1840618059,Bayer Capital Corp. B.V.
DE,XS1840618216,Bayer Capital Corp. B.V.
DE,XS1843459436,Amphenol Technologies Holding GmbH
DE,XS1854532949,"Fresenius Medical Care AG and Co. KGaA, Bad Homburg"
DE,XS1873143561,BMW Finance N.V.
DE,XS1873143645,BMW Finance N.V.
DE,XS1874127811,Siemens Financieringsmaatschappij N.V.
DE,XS1874127902,Siemens Financieringsmaatschappij N.V.
DE,XS1874128033,Siemens Financieringsmaatschappij N.V.
DE,XS1882681452,Vier Gas Transport GmbH
DE,XS1885608817,Deutsche Bahn Finance Gmbh
DE,XS1888229249,Bertelsmann SE  KGaA
DE,XS1901055472,EnBW International Finance BV
DE,XS1910245593,BMW Finance N.V.
DE,XS1910245676,BMW Finance N.V.
DE,XS1910947941,Volkswagen Intl Finance N.V.
DE,XS1910948162,Volkswagen Intl Finance N.V.
DE,XS1910948329,Volkswagen Intl Finance N.V.
DE,XS1910948675,Volkswagen Intl Finance N.V.
DE,XS1917358621,Deutsche Post AG
DE,XS1936139770,Deutsche Bahn Finance Gmbh
DE,XS1936208252,Fresenius SE & Co. KGaA
DE,XS1936208419,Fresenius SE & Co. KGaA
DE,XS1948611840,BMW Finance N.V.
DE,XS1948612905,BMW Finance N.V.
DE,XS1955187692,Siemens Financieringsmaatschappij N.V.
DE,XS1955187775,Siemens Financieringsmaatschappij N.V.
DE,XS1955187858,Siemens Financieringsmaatschappij N.V.
DE,XS1955187932,Siemens Financieringsmaatschappij N.V.
DE,XS2010039381,ZF Europe Finance B.V
DE,XS2010039894,ZF Europe Finance B.V
DE,XS2010039977,ZF Europe Finance B.V
DE,XS2010040124,ZF Europe Finance B.V
DE,XS2010044464,TLG IMMOBILIEN AG
DE,XS2010445026,BMW Finance N.V.
DE,XS2010447238,BMW Finance N.V.
DE,XS2023643146,Merck Financial Services GmbH
DE,XS2023644201,Merck Financial Services GmbH
DE,XS2023644540,Merck Financial Services GmbH
DE,XS2024715794,"Deutsche Telekom AG, Bonn"
DE,XS2024716099,"Deutsche Telekom AG, Bonn"
DE,XS2047479469,HELLA GmbH & Co. KGaA
DE,XS2047500769,E.ON SE
DE,XS2047500926,E.ON SE
DE,XS2049090595,Vier Gas Transport GmbH
DE,XS2049146215,Vier Gas Transport GmbH
DE,XS2049616464,Siemens Financieringsmaatschappij N.V.
DE,XS2049616548,Siemens Financieringsmaatschappij N.V.
DE,XS2049616621,Siemens Financieringsmaatschappij N.V.
DE,XS2049616894,Siemens Financieringsmaatschappij N.V.
DE,XS2049726990,Deutsche Lufthansa AG
DE,XS2051667181,Continental AG
DE,XS2055727916,BMW Finance N.V.
DE,XS2055728054,BMW Finance N.V.
DE,XS2056430874,Continental AG
DE,XS2069380488,E.ON SE
DE,XS2069380991,E.ON SE
DE,XS2077546682,E.ON SE
DE,XS2083146964,Albemarle New Holding GmbH
DE,XS2083147343,Albemarle New Holding GmbH
DE,XS2084488209,"Fresenius Medical Care AG and Co. KGaA, Bad Homburg"
DE,XS2084497705,"Fresenius Medical Care AG and Co. KGaA, Bad Homburg"
DE,XS2084510069,"Fresenius Medical Care AG and Co. KGaA, Bad Homburg"
DE,XS2091216205,E.ON SE
DE,XS2093242373,Siemens Financieringsmaatschappij N.V.
DE,XS2101357072,Fresenius SE & Co. KGaA
DE,XS2102355588,BMW Finance N.V.
DE,XS2102357014,BMW Finance N.V.
DE,XS2102357105,BMW Finance N.V.
DE,XS2102380776,Deutsche Bahn Finance Gmbh
DE,XS2102916793,Merck Financial Services GmbH
DE,XS2102932055,Merck Financial Services GmbH
DE,XS2103014291,E.ON SE
DE,XS2103014457,E.ON SE
DE,XS2103015009,E.ON SE
DE,XS2117462627,Deutsche Bahn Finance Gmbh
DE,XS2118273601,Siemens Financieringsmaatschappij N.V.
DE,XS2118276026,Siemens Financieringsmaatschappij N.V.
DE,XS2118276539,Siemens Financieringsmaatschappij N.V.
DE,XS2118280218,Siemens Financieringsmaatschappij N.V.
DE,XS2149280948,Bertelsmann SE  KGaA
DE,XS2152329053,Fresenius SE & Co. KGaA
DE,XS2152899584,E.ON SE
DE,XS2152932542,Deutsche Bahn Finance Gmbh
DE,XS2156607702,EnBW International Finance BV
DE,XS2156768546,Deutsche Bahn Finance Gmbh
DE,XS2168307333,Amphenol Technologies Holding GmbH
DE,XS2171713006,Eurogrid GmbH
DE,XS2176534795,Würth Finance International BV
DE,XS2176558620,Bertelsmann SE  KGaA
DE,XS2176715311,SAP SE
DE,XS2176715584,SAP SE
DE,XS2176715667,SAP SE
DE,XS2177021271,Linde Finance B.V.
DE,XS2177021602,Linde Finance B.V.
DE,XS2177122541,Deutsche Post AG
DE,XS2177122624,Deutsche Post AG
DE,XS2177122897,Deutsche Post AG
DE,XS2177575177,E.ON SE
DE,XS2177580250,E.ON SE
DE,XS2177580508,E.ON SE
DE,XS2178585423,"Conti-Gummi Finance B.V., Amsterdam"
DE,XS2178586157,Continental AG
DE,XS2178769076,"Fresenius Medical Care AG and Co. KGaA, Bad Homburg"
DE,XS2178769159,"Fresenius Medical Care AG and Co. KGaA, Bad Homburg"
DE,XS2182049291,Siemens Financieringsmaatschappij N.V.
DE,XS2182054887,Siemens Financieringsmaatschappij N.V.
DE,XS2182055181,Siemens Financieringsmaatschappij N.V.
DE,XS2188805688,Covestro AG
DE,XS2188805845,Covestro AG
DE,XS2191013171,alstria office REIT-AG
DE,XS2193657561,"Conti-Gummi Finance B.V., Amsterdam"
DE,XS2193666042,Deutsche Bahn Finance Gmbh
DE,XS2193666125,Deutsche Bahn Finance Gmbh
DE,XS2194192527,Infineon Technologies AG
DE,XS2194282948,Infineon Technologies AG
DE,XS2194283672,Infineon Technologies AG
DE,XS2194283839,Infineon Technologies AG
DE,XS2197673747,MTU Aero Engines AG
DE,XS2199265617,Bayer AG
DE,XS2199266003,Bayer AG
DE,XS2199266268,Bayer AG
DE,XS2199266698,Bayer AG
DE,XS2224621347,adidas AG
DE,XS2224621420,adidas AG
DE,XS2232027727,Kion Group AG
DE,XS2234567233,Volkswagen Intl Finance N.V.
DE,XS2234567662,Volkswagen Intl Finance N.V.
DE,XS2237434472,Fresenius SE & Co. KGaA
DE,XS2237447961,Fresenius SE & Co. KGaA
DE,XS2240505268,adidas AG
DE,XS2242728041,EnBW International Finance BV
DE,XS2270150399,Volkswagen Intl Finance N.V.
DE,XS2280845145,BMW Finance N.V.
DE,XS2280845491,BMW Finance N.V.
DE,XS2281342878,Bayer AG
DE,XS2281343256,Bayer AG
DE,XS2281343413,Bayer AG
DE,XS2281343686,Bayer AG
DE,XS2288948859,E.ON SE
DE,XS2289841087,Volkswagen Intl Finance N.V.
DE,XS2306986782,EnBW International Finance BV
DE,XS2306988564,EnBW International Finance BV
DE,XS2327420977,E.ON SE
ES,ES0205032008,"Ferrovial Emisiones, S.A."
ES,ES0205032016,"Ferrovial Emisiones, S.A."
ES,ES0205032024,"Ferrovial Emisiones, S.A."
ES,ES0205032032,"Ferrovial Emisiones, S.A."
ES,ES0205032040,"Ferrovial Emisiones, S.A."
ES,ES0211845260,Abertis Infraestructuras SA
ES,ES0211845294,Abertis Infraestructuras SA
ES,ES0211845302,Abertis Infraestructuras SA
ES,ES0211845310,Abertis Infraestructuras SA
ES,ES0224244071,Mapfre SA
ES,ES0224261059,Corporacion de Reservas Estrategicas de Productos Petroliferos
ES,ES0239140017,"Inmobiliaria Colonial, Socimi SA"
ES,XS0162869076,Telefónica Europe B.V.
ES,XS0458749826,Naturgy Capital Markets S.A.
ES,XS0874864860,Telefonica Emisiones S.A.U.
ES,XS0875343757,Naturgy Finance B.V.
ES,XS0876289652,Red Eléctrica Financ. S.A.U.
ES,XS0914400246,Naturgy Finance B.V.
ES,XS0975256685,Repsol Intl Finance B.V.
ES,XS0990109240,Iberdrola International B.V.
ES,XS1041934800,Naturgy Finance B.V.
ES,XS1052843908,Enagás Financiaciones S.A.U.
ES,XS1057055060,Iberdrola International B.V.
ES,XS1062909624,Naturgy Finance B.V.
ES,XS1069430368,Telefonica Emisiones S.A.U.
ES,XS1079698376,Red Eléctrica Financ. S.A.U.
ES,XS1116408235,Iberdrola International B.V.
ES,XS1120892507,Telefonica Emisiones S.A.U.
ES,XS1148073205,Repsol Intl Finance B.V.
ES,XS1170307414,Naturgy Finance B.V.
ES,XS1171541813,Iberdrola International B.V.
ES,XS1177459531,Enagás Financiaciones S.A.U.
ES,XS1203859415,Enagás Financiaciones S.A.U.
ES,XS1219462543,Red Eléctrica Financ. S.A.U.
ES,XS1223842847,Redexis Gas Finance B.V.
ES,XS1265778933,Cellnex Telecom S.A.
ES,XS1290729208,Telefonica Emisiones S.A.U.
ES,XS1291004270,Iberdrola International B.V.
ES,XS1322048619,Amadeus Capital Markets S.A.U.
ES,XS1394764689,Telefonica Emisiones S.A.U.
ES,XS1394777665,Telefonica Emisiones S.A.U.
ES,XS1395060491,Red Eléctrica Financ. S.A.U.
ES,XS1396767854,Naturgy Finance B.V.
ES,XS1398336351,Merlin Properties SOCIMI S.A.
ES,XS1398476793,Iberdrola International B.V.
ES,XS1403388694,Enagás Financiaciones S.A.U.
ES,XS1468525057,Cellnex Telecom S.A.
ES,XS1490726590,Iberdrola International B.V.
ES,XS1505554771,Telefonica Emisiones S.A.U.
ES,XS1508831051,Enagás Financiaciones S.A.U.
ES,XS1512827095,Merlin Properties SOCIMI S.A.
ES,XS1527758145,Iberdrola Finanzas S.A.U.
ES,XS1550951138,Telefonica Emisiones S.A.U.
ES,XS1550951211,Telefonica Emisiones S.A.U.
ES,XS1551446880,Naturgy Finance B.V.
ES,XS1551726810,Cellnex Telecom S.A.
ES,XS1575444622,Iberdrola Finanzas S.A.U.
ES,XS1590568132,Naturgy Capital Markets S.A.
ES,XS1596739364,Madrileña Red de Gas Fin. B.V.
ES,XS1596740453,Madrileña Red de Gas Fin. B.V.
ES,XS1613140489,Repsol Intl Finance B.V.
ES,XS1619643015,Merlin Properties SOCIMI S.A.
ES,XS1681521081,Telefonica Emisiones S.A.U.
ES,XS1682538183,Iberdrola Finanzas S.A.U.
ES,XS1684831982,Merlin Properties SOCIMI S.A.
ES,XS1695276367,Naturgy Finance B.V.
ES,XS1718393439,Naturgy Finance B.V.
ES,XS1726152108,Iberdrola Finanzas S.A.U.
ES,XS1729879822,Prosegur Cash S.A.
ES,XS1755428502,Naturgy Finance B.V.
ES,XS1756296965,Telefonica Emisiones S.A.U.
ES,XS1759603761,Prosegur - Cía de Seguridad SA
ES,XS1788586375,Red Eléctrica Financ. S.A.U.
ES,XS1799545329,"ACS Servicios Comunicaciones y Energia, S.L., Madrid"
ES,XS1847692636,Iberdrola Finanzas S.A.U.
ES,XS1877846110,Telefonica Emisiones S.A.U.
ES,XS1878190757,"Amadeus IT Group SA, Madrid"
ES,XS1878191052,"Amadeus IT Group SA, Madrid"
ES,XS1878191219,"Amadeus IT Group SA, Madrid"
ES,XS1946004451,Telefonica Emisiones S.A.U.
ES,XS1961772560,Telefonica Emisiones S.A.U.
ES,XS1967635621,Abertis Infraestructuras SA
ES,XS1967635977,Abertis Infraestructuras SA
ES,XS1967636199,Abertis Infraestructuras SA
ES,XS1996435688,"CEPSA Finance, S.Aflds"
ES,XS2020580945,International Consolidated Airlines Group
ES,XS2020581752,International Consolidated Airlines Group
ES,XS2020583618,Telefonica Emisiones S.A.U.
ES,XS2025466413,Abertis Infraestructuras SA
ES,XS2025480596,Abertis Infraestructuras SA
ES,XS2035620710,Repsol Intl Finance B.V.
ES,XS2055651918,Abertis Infraestructuras SA
ES,XS2055652056,Abertis Infraestructuras SA
ES,XS2083976139,Naturgy Finance B.V.
ES,XS2089229806,Merlin Properties SOCIMI S.A.
ES,XS2102934697,Cellnex Telecom S.A.
ES,XS2103013210,Red Eléctrica Financ. S.A.U.
ES,XS2112289207,Telefonica Emisiones S.A.U.
ES,XS2113911387,Abertis Infraestructuras SA
ES,XS2117485677,"CEPSA Finance, S.Aflds"
ES,XS2153405118,Iberdrola Finanzas S.A.U.
ES,XS2154441120,Red Electrica Corporacion SA
ES,XS2156506854,Naturgy Finance B.V.
ES,XS2156581394,Repsol Intl Finance B.V.
ES,XS2156583259,Repsol Intl Finance B.V.
ES,XS2177441990,Telefonica Emisiones S.A.U.
ES,XS2177442295,Telefonica Emisiones S.A.U.
ES,XS2177552390,"Amadeus IT Group SA, Madrid"
ES,XS2177555062,"Amadeus IT Group SA, Madrid"
ES,XS2178957077,Redexis Gas Finance B.V.
ES,XS2189592616,"ACS, Act.de Constr.y Serv. SA"
ES,XS2193658619,Cellnex Telecom S.A.
ES,XS2195092601,Abertis Infraestructuras SA
ES,XS2197675288,Telefonica Emisiones S.A.U.
ES,XS2201946634,Merlin Properties SOCIMI S.A.
ES,XS2202744384,"CEPSA Finance, S.Aflds"
ES,XS2236363573,"Amadeus IT Group SA, Madrid"
ES,XS2239813301,El Corte Ingle S.A.
ES,XS2241090088,Repsol Intl Finance B.V.
ES,XS2247549731,Cellnex Telecom S.A.
ES,XS2251626896,Enagás Financiaciones S.A.U.
ES,XS2289797248,Nortegas Energia Distribution
ES,XS2297537461,"Amadeus IT Group SA, Madrid"
ES,XS2300292617,"Cellnex Finance Company S.A.U., Madrid  "
ES,XS2300292963,"Cellnex Finance Company S.A.U., Madrid  "
ES,XS2300293003,"Cellnex Finance Company S.A.U., Madrid  "
FI,AT0000A0X913,KELAG-Kärntner Elektrizitäts- Aktiengesellschaft
FI,AT0000A182L5,NOVOMATIC AG
FI,AT0000A1C741,STRABAG SE
FI,AT0000A1LHT0,NOVOMATIC AG
FI,AT0000A24UY3,Borealis AG
FI,AT0000A2QL75,Vienna Insurance Group AG
FI,FI4000223532,Kojamo Oyj
FI,FI4000282629,"Metsa Board OYJ, Espoo"
FI,FI4000312095,DNA Oyj
FI,XS0213737702,Energie AG Oberösterreich
FI,XS0690406243,OMV AG
FI,XS0690623771,EVN AG
FI,XS0767278301,Telekom Finanzmanagement GmbH
FI,XS0768448796,Fingrid Oyj
FI,XS0834367863,OMV AG
FI,XS0834371469,OMV AG
FI,XS0905658349,Erdöl-Lagergesellschaft m.b.H.
FI,XS0950055359,Telekom Finanzmanagement GmbH
FI,XS0999667263,Telekom Finanzmanagement GmbH
FI,XS1077584024,Ryanair DAC
FI,XS1110299036,Sampo OYJ
FI,XS1140300663,Verbund AG
FI,XS1183235644,Teollisuuden Voima Oyj
FI,XS1199964575,Ryanair DAC
FI,XS1239586594,ESB Finance DAC
FI,XS1288849471,Kerry Group Financial Services
FI,XS1292352843,Eesti Energia AS
FI,XS1405762805,Telekom Finanzmanagement GmbH
FI,XS1419674525,DAA Finance PLC
FI,XS1428782160,ESB Finance DAC
FI,XS1489391109,PartnerRe Ireland Finance DAC
FI,XS1492685885,Eaton Capital Unlimited Co.
FI,XS1505896735,CRH Finance DAC
FI,XS1514470316,Teollisuuden Voima Oyj
FI,XS1520733301,Sampo OYJ
FI,XS1529684695,Gas Networks Ireland
FI,XS1554373164,Fresenius Finance Ireland PLC
FI,XS1554373248,Fresenius Finance Ireland PLC
FI,XS1554373677,Fresenius Finance Ireland PLC
FI,XS1554373834,Fresenius Finance Ireland PLC
FI,XS1560853670,ESB Finance DAC
FI,XS1565699763,Ryanair DAC
FI,XS1577731604,"Nokia Oyj, Espoo"
FI,XS1578886258,Elisa Oyj
FI,XS1586337872,Liberty Mutual Fin.Europe DAC
FI,XS1622193750,Sampo OYJ
FI,XS1624344542,Stora Enso Oyj
FI,XS1626574708,Metso Outotec
FI,XS1628004779,Kojamo Oyj
FI,XS1646530565,Ignitis Grupe UAB
FI,XS1713464102,Elering A.S.
FI,XS1734689620,OMV AG
FI,XS1775786574,Sampo OYJ
FI,XS1785356251,Kojamo Oyj
FI,XS1794354628,Stora Enso Oyj
FI,XS1816329418,Teollisuuden Voima Oyj
FI,XS1853999313,Ignitis Grupe UAB
FI,XS1888184121,Sampo OYJ
FI,XS1903442744,ESB Finance DAC
FI,XS1917590876,OMV AG
FI,XS1917590959,OMV AG
FI,XS1953833750,Elisa Oyj
FI,XS1956027947,"Fortum Oyj, Helsinki"
FI,XS1956028168,"Fortum Oyj, Helsinki"
FI,XS1956037664,"Fortum Oyj, Helsinki"
FI,XS1960685383,"Nokia Oyj, Espoo"
FI,XS1996269061,Eaton Capital Unlimited Co.
FI,XS2009861480,ESB Finance DAC
FI,XS2013626010,Zurich Finance (Ireland) DAC
FI,XS2022093434,OMV AG
FI,XS2022093517,OMV AG
FI,XS2042667944,Kerry Group Financial Services
FI,XS2046736752,Atlas Copco Finance DAC
FI,XS2049419398,Teollisuuden Voima Oyj
FI,XS2088659789,Gas Networks Ireland
FI,XS2099128055,CA Immobilien Anlagen AG
FI,XS2151059206,Mondi Finance
FI,XS2153410977,SATO Oyj
FI,XS2154347293,OMV AG
FI,XS2154347707,OMV AG
FI,XS2154348424,OMV AG
FI,XS2168478068,CRH SMW Finance DAC
FI,XS2169281131,CRH Finland Services OYJ
FI,XS2171759256,"Nokia Oyj, Espoo"
FI,XS2171872570,"Nokia Oyj, Espoo"
FI,XS2177349912,Ignitis Grupe UAB
FI,XS2179959817,Kojamo Oyj
FI,XS2189613982,OMV AG
FI,XS2189614014,OMV AG
FI,XS2199604096,UNIQA Insurance Group AG
FI,XS2228260043,Ryanair DAC
FI,XS2228892860,Glencore Capital Finance DAC
FI,XS2230266301,Elisa Oyj
FI,XS2233121792,SATO Oyj
FI,XS2243564478,Immofinanz AG
FI,XS2244415175,DAA Finance PLC
FI,XS2248827771,CA Immobilien Anlagen AG
FI,XS2257961818,UPM-Kymmene OYJ
FI,XS2264692737,Metso Outotec
FI,XS2265360359,Stora Enso Oyj
FI,XS2281473111,Hemso Treasury Oyj
FI,XS2288925568,BALDER FINLAND OYJ
FI,XS2293906199,SBB Treasury Oyj
FI,XS2307764238,Glencore Capital Finance DAC
FI,XS2307764311,Glencore Capital Finance DAC
FI,XS2310747915,Eaton Capital Unlimited Co.
FI,XS2310748483,Eaton Capital Unlimited Co.
FI,XS2320453884,UPM-Kymmene OYJ
FI,XS2325562424,Fresenius Finance Ireland PLC
FI,XS2325562697,Fresenius Finance Ireland PLC
FI,XS2325565104,Fresenius Finance Ireland PLC
FR,FR0000471930,Orange S.A.
FR,FR0000475758,Engie Alliance GIE
FR,FR0000476087,La Poste
FR,FR0010033381,Veolia Environnement S.A.
FR,FR0010327007,Compagnie Fin. Ind. Autoroutes
FR,FR0010394437,La Poste
FR,FR0010474239,Veolia Environnement S.A.
FR,FR0010491720,Autoroutes du Sud de la France
FR,FR0010780528,Suez S.A.
FR,FR0010800540,Electricité de France (E.D.F.)
FR,FR0010891317,Electricité de France (E.D.F.)
FR,FR0010913178,RTE EDF TRANSPORT
FR,FR0010913780,Suez S.A.
FR,FR0010951806,SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS)
FR,FR0010952770,Engie S.A.
FR,FR0010961540,Electricité de France (E.D.F.)
FR,FR0010961581,Electricité de France (E.D.F.)
FR,FR0011048966,Suez S.A.
FR,FR0011182641,Electricité de France (E.D.F.)
FR,FR0011193515,Bouygues S.A.
FR,FR0011224963,Veolia Environnement S.A.
FR,FR0011225143,Electricité de France (E.D.F.)
FR,FR0011266527,AEROPORTS DE PARIS
FR,FR0011289230,Engie S.A.
FR,FR0011318658,Electricité de France (E.D.F.)
FR,FR0011332196,Bouygues S.A.
FR,FR0011339746,Eutelsat S.A.
FR,FR0011344076,Air Liquide Finance
FR,FR0011360478,La Poste
FR,FR0011394907,Autoroutes du Sud de la France
FR,FR0011439785,SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS)
FR,FR0011439835,Air Liquide S.A.
FR,FR0011502814,GECINA
FR,FR0011509488,AEROPORTS DE PARIS
FR,FR0011527241,DANONE
FR,FR0011560077,Orange S.A.
FR,FR0011561000,Schneider Electric SE
FR,FR0011565555,RTE EDF TRANSPORT
FR,FR0011585215,Suez S.A.
FR,FR0011625409,DANONE
FR,FR0011625433,Sanofi S.A.
FR,FR0011637586,Electricité de France (E.D.F.)
FR,FR0011689033,Valeo S.A.
FR,FR0011694033,Autoroutes du Sud de la France
FR,FR0011842913,EssilorLuxottica S.A.
FR,FR0011911247,Engie S.A.
FR,FR0011912575,Suez S.A.
FR,FR0011951771,Air Liquide Finance
FR,FR0011991488,RTE EDF TRANSPORT
FR,FR0012146777,Sanofi S.A.
FR,FR0012146801,Sanofi S.A.
FR,FR0012173706,LVMH Moët Henn. L. Vuitton SE
FR,FR0012173862,Pernod-Ricard S.A.
FR,FR0012199008,Kering S.A.
FR,FR0012199065,RTE EDF TRANSPORT
FR,FR0012199081,RTE EDF TRANSPORT
FR,FR0012199156,Wendel S.A.
FR,FR0012206993,AEROPORTS DE PARIS
FR,FR0012236669,INFRA PARK
FR,FR0012283653,Klepierre
FR,FR0012332203,Mercialys
FR,FR0012346856,SOCIETE FONCIERE LYONNAISE SA
FR,FR0012384634,Publicis Groupe S.A.
FR,FR0012384667,Publicis Groupe S.A.
FR,FR0012432912,DANONE
FR,FR0012448025,GECINA
FR,FR0012452191,ARKEMA SA
FR,FR0012516417,Wendel S.A.
FR,FR0012599892,Edenred S.A.
FR,FR0012601367,Schneider Electric SE
FR,FR0012602753,Engie S.A.
FR,FR0012602761,Engie S.A.
FR,FR0012602779,Engie S.A.
FR,FR0012648244,Kering S.A.
FR,FR0012663169,Veolia Environnement S.A.
FR,FR0012674661,Klepierre
FR,FR0012758985,La Poste
FR,FR0012766889,Air Liquide Finance
FR,FR0012790327,GECINA
FR,FR0012861821,AEROPORTS DE PARIS
FR,FR0012881555,TOTAL INFRASTRUCTURES GAZ FRANCE
FR,FR0012939841,Schneider Electric SE
FR,FR0012949923,Suez S.A.
FR,FR0012967461,CARMILA
FR,FR0012968931,Pernod-Ricard S.A.
FR,FR0012969020,Sanofi S.A.
FR,FR0012969038,Sanofi S.A.
FR,FR0013015559,Schneider Electric SE
FR,FR0013030038,Klepierre
FR,FR0013053030,SOCIETE FONCIERE LYONNAISE SA
FR,FR0013053329,SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF)
FR,FR0013060209,RTE EDF TRANSPORT
FR,FR0013063609,DANONE
FR,FR0013073277,Legrand S.A.
FR,FR0013108933,SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS)
FR,FR0013121753,Klepierre
FR,FR0013139482,Valeo S.A.
FR,FR0013142536,CARMILA
FR,FR0013143997,Sanofi S.A.
FR,FR0013144003,Sanofi S.A.
FR,FR0013152899,RTE EDF TRANSPORT
FR,FR0013152907,RTE EDF TRANSPORT
FR,FR0013153822,Air Liquide Finance
FR,FR0013165677,Kering S.A.
FR,FR0013169885,Autoroutes du Sud de la France
FR,FR0013170834,Covivio S.A.
FR,FR0013172939,Pernod-Ricard S.A.
FR,FR0013173432,Suez S.A.
FR,FR0013176310,Vivendi S.A.
FR,FR0013179553,JCDECAUX SA
FR,FR0013182078,SOCIETE DES AUTOROUTES PARIS-RHIN-RHONE (APRR)
FR,FR0013182821,Air Liquide Finance
FR,FR0013182839,Air Liquide Finance
FR,FR0013182847,Air Liquide Finance
FR,FR0013183431,Regie Autonome des Transports Parisiens (RATP)
FR,FR0013201126,Compagnie Fin. Ind. Autoroutes
FR,FR0013201134,Compagnie Fin. Ind. Autoroutes
FR,FR0013201308,Schneider Electric SE
FR,FR0013201621,Sanofi S.A.
FR,FR0013201639,Sanofi S.A.
FR,FR0013203825,Klepierre
FR,FR0013205069,GECINA
FR,FR0013210408,Veolia Environnement S.A.
