NCB,ISIN,ISSUER
BE,XS1330434389,Heineken N.V.
BE,XS1333667506,EXOR N.V.
BE,XS1371715118,Roche Finance Europe B.V.
BE,XS1377682676,Coca Cola HBC Finance B.V.
BE,XS1384281090,RELX Finance B.V.
BE,XS1385395121,EDP Finance B.V.
BE,XS1391625289,Akzo Nobel N.V.
BE,XS1396367911,ENEXIS Holding NV
BE,XS1400167133,Alliander N.V.
BE,XS1401174633,Heineken N.V.
BE,XS1402941790,ABB Finance B.V.
BE,XS1403014936,Unilever Finance Netherlands B.V.
BE,XS1403015156,Unilever Finance Netherlands B.V.
BE,XS1405774990,ASML Holding N.V.
BE,XS1405777316,Bunge Finance Europe B.V.
BE,XS1405780963,ASML Holding N.V.
BE,XS1409382030,"Nederlandse Gasunie, N.V."
BE,XS1410582313,Airbus Group Finance B.V.
BE,XS1410582586,Airbus Group Finance B.V.
BE,XS1411401083,Shell International Finance BV
BE,XS1411405662,Shell International Finance BV
BE,XS1412424662,CNH Industrial Finance Euro.SA
BE,XS1420337633,Holcim Finance (Luxembg) S.A.
BE,XS1420338102,Holcim Finance (Luxembg) S.A.
BE,XS1423826798,REN Finance B.V.
BE,XS1432384409,TenneT Holding BV
BE,XS1432384664,TenneT Holding BV
BE,XS1449707055,Aroundtown SA
BE,XS1471646965,EDP Finance B.V.
BE,XS1476654238,Shell International Finance BV
BE,XS1476654584,Shell International Finance BV
BE,XS1485532896,Koninklijke KPN NV
BE,XS1485533431,Koninklijke KPN NV
BE,XS1485608118,Citycon Treasury B.V.
BE,XS1492825051,Novartis Finance S.A.
BE,XS1492825481,Novartis Finance S.A.
BE,XS1495373505,Koninklijke DSM NV
BE,XS1505568136,TenneT Holding BV
BE,XS1514149159,Whirlpool Finance Luxembourg S.a.r.l.
BE,XS1527192485,Heineken N.V.
BE,XS1527526799,Adecco Intl Fin. Serv. B.V.
BE,XS1527556192,ASML Holding N.V.
BE,XS1529854793,Aegon NV
BE,XS1533928971,WPC Eurobond B.V.
BE,XS1550988569,NN Group NV
BE,XS1558083652,EDP Finance B.V.
BE,XS1566100977,Unilever Finance Netherlands B.V.
BE,XS1566101603,Unilever Finance Netherlands B.V.
BE,XS1575992596,Wolters Kluwer N.V.
BE,XS1576838376,RELX Finance B.V.
BE,XS1585010074,Novartis Finance S.A.
BE,XS1589806907,HeidelbergCement Fin.Lux. S.A.
BE,XS1611855237,Heineken N.V.
BE,XS1613121422,ABB Finance B.V.
BE,XS1623355457,NN Group NV
BE,XS1629387462,HeidelbergCement Fin.Lux. S.A.
BE,XS1632897762,TenneT Holding BV
BE,XS1632897929,TenneT Holding BV
BE,XS1637093508,Compass Group International BV
BE,XS1651444140,Eurofins Scientific SE
BE,XS1652965085,ADLER Group S.A.
BE,XS1654191623,Unilever Finance Netherlands B.V.
BE,XS1654192191,Unilever Finance Netherlands B.V.
BE,XS1654192274,Unilever Finance Netherlands B.V.
BE,XS1654229373,Grand City Properties S.A.
BE,XS1671760384,Koninklijke Philips N.V.
BE,XS1672151492,Holcim Finance (Luxembg) S.A.
BE,XS1678966935,CNH Industrial Finance Euro.SA
BE,XS1683495136,John Deere Cash Management SA
BE,XS1685798370,Koninklijke Ahold Delhaize N.V.
BE,XS1691781865,Heineken N.V.
BE,XS1705553250,Stedin Holding N.V.
BE,XS1705553417,Stedin Holding N.V.
BE,XS1707074941,Nestlé Finance Intl Ltd.
BE,XS1707075245,Nestlé Finance Intl Ltd.
BE,XS1707075328,Nestlé Finance Intl Ltd.
BE,XS1709433509,PostNL NV
BE,XS1715306012,Aroundtown SA
BE,XS1716616179,Whirlpool Finance Luxembourg S.a.r.l.
BE,XS1721051495,EDP Finance B.V.
BE,XS1730873731,ArcelorMittal  S.A
BE,XS1753808929,EXOR N.V.
BE,XS1753814737,REN Finance B.V.
BE,XS1761721262,Aroundtown SA
BE,XS1769040111,Novartis Finance S.A.
BE,XS1769041192,Novartis Finance S.A.
BE,XS1769041606,Novartis Finance S.A.
BE,XS1769090728,Unilever Finance Netherlands B.V.
BE,XS1769090991,Unilever Finance Netherlands B.V.
BE,XS1769091296,Unilever Finance Netherlands B.V.
BE,XS1781401085,Grand City Properties S.A.
BE,XS1782806357,Západoslovenská energetika AS
BE,XS1785458172,WPC Eurobond B.V.
BE,XS1787477543,Koninklijke Ahold Delhaize N.V.
BE,XS1789623029,Euronext N.V.
BE,XS1789751531,Richemont Intl Holding S.A.
BE,XS1789752182,Richemont Intl Holding S.A.
BE,XS1789759195,Richemont Intl Holding S.A.
BE,XS1793224632,RELX Finance B.V.
BE,XS1796208632,SES S.A.
BE,XS1810653540,HeidelbergCement Fin.Lux. S.A.
BE,XS1815116568,Koninklijke Philips N.V.
BE,XS1815116998,Koninklijke Philips N.V.
BE,XS1815135352,Aroundtown SA
BE,XS1822791619,Citycon Treasury B.V.
BE,XS1823165631,Paccar Financial Europe B.V.
BE,XS1823623878,CNH Industrial Finance Euro.SA
BE,XS1828037587,TenneT Holding BV
BE,XS1828037827,TenneT Holding BV
BE,XS1843459600,WPC Eurobond B.V.
BE,XS1846632104,EDP Finance B.V.
BE,XS1863994981,HeidelbergCement Fin.Lux. S.A.
BE,XS1873208950,Unilever Finance Netherlands B.V.
BE,XS1873209172,Unilever Finance Netherlands B.V.
BE,XS1876069185,"Compass Group Finance Netherlands B.V., Amsterdam"
BE,XS1877595014,Heineken N.V.
BE,XS1877595444,Heineken N.V.
BE,XS1878266326,Stedin Holding N.V.
BE,XS1892117919,"Nederlandse Gasunie, N.V."
BE,XS1893621026,EDP Finance B.V.
BE,XS1900101046,Royal Schiphol Group N.V.
BE,XS1936308391,ArcelorMittal  S.A
BE,XS1958214964,Paccar Financial Europe B.V.
BE,XS1969600748,CNH Industrial Finance Euro.SA
BE,XS1995662027,Adecco Intl Fin. Serv. B.V.
BE,XS1995781546,Coca Cola HBC Finance B.V.
BE,XS1995795504,Coca Cola HBC Finance B.V.
BE,XS2001175657,Koninklijke Philips N.V.
BE,XS2002491780,TenneT Holding BV
BE,XS2002491863,TenneT Holding BV
BE,XS2009943379,Euronext N.V.
BE,XS2010032378,ASML Holding N.V.
BE,XS2010044209,Schlumberger Finance B.V.
BE,XS2010045198,Schlumberger Finance B.V.
BE,XS2010045271,Schlumberger Finance B.V.
BE,XS2010331101,John Deere Cash Management SA
BE,XS2014382845,Alliander N.V.
BE,XS2018636600,Koninklijke Ahold Delhaize N.V.
BE,XS2018637327,HeidelbergCement Fin.Lux. S.A.
BE,XS2019976070,ENEXIS Holding NV
BE,XS2022084367,CNH Industrial Finance Euro.SA
BE,XS2023872174,Aroundtown SA
BE,XS2023873149,Aroundtown SA
BE,XS2047619064,PostNL NV
BE,XS2052310054,LYB International Finance II
BE,XS2052313827,LYB International Finance II
BE,XS2053052895,EDP Finance B.V.
BE,XS2056374353,Mondelez Intl Hldgs Nether. BV
BE,XS2056572154,CK Hutchison Grp Tele.Fin. SA
BE,XS2057069093,CK Hutchison Grp Tele.Fin. SA
BE,XS2057069762,CK Hutchison Grp Tele.Fin. SA
BE,XS2057070182,CK Hutchison Grp Tele.Fin. SA
BE,XS2058888616,EXOR N.V.
BE,XS2060691040,"Nederlandse Gasunie, N.V."
BE,XS2075811781,SES S.A.
BE,XS2078734626,Shell International Finance BV
BE,XS2078735276,Shell International Finance BV
BE,XS2078735433,Shell International Finance BV
BE,XS2079678400,Stedin Holding N.V.
BE,XS2082323630,ArcelorMittal  S.A
BE,XS2082324018,ArcelorMittal  S.A
BE,XS2082345955,Coca Cola HBC Finance B.V.
BE,XS2100663223,Digital Dutch Finco BV
BE,XS2100663579,Digital Dutch Finco BV
BE,XS2100664114,Digital Dutch Finco BV
BE,XS2114807691,Tyco Electronics Group S.A.
BE,XS2115092954,Whirlpool EMEA Finance SARL
BE,XS2126056204,Paccar Financial Europe B.V.
BE,XS2126161681,RELX Finance B.V.
BE,XS2126161764,RELX Finance B.V.
BE,XS2126162069,RELX Finance B.V.
BE,XS2126169742,Givaudan Finance Europe B.V
BE,XS2126170161,Givaudan Finance Europe B.V
BE,XS2128498636,Signify NV
BE,XS2128499105,Signify NV
BE,XS2147133495,Unilever Finance Netherlands B.V.
BE,XS2147133578,Unilever Finance Netherlands B.V.
BE,XS2147977479,Heineken N.V.
BE,XS2147977636,Heineken N.V.
BE,XS2148372696,Nestlé Finance Intl Ltd.
BE,XS2148390755,Nestlé Finance Intl Ltd.
BE,XS2149368529,Koninklijke Philips N.V.
BE,XS2149379211,Koninklijke Philips N.V.
BE,XS2150006133,John Deere Cash Management SA
BE,XS2150006307,John Deere Cash Management SA
BE,XS2150006562,John Deere Cash Management SA
BE,XS2150015555,Koninklijke Ahold Delhaize N.V.
BE,XS2152795709,Airbus SE
BE,XS2152796269,Airbus SE
BE,XS2152796426,Airbus SE
BE,XS2153459123,Royal Schiphol Group N.V.
BE,XS2153593103,B.A.T Netherlands Finance BV
BE,XS2153597518,B.A.T Netherlands Finance BV
BE,XS2154325562,Grand City Properties S.A.
BE,XS2154336338,HeidelbergCement Fin.Lux. S.A.
BE,XS2154418144,Shell International Finance BV
BE,XS2154418730,Shell International Finance BV
BE,XS2154419118,Shell International Finance BV
BE,XS2156244043,Holcim Finance (Luxembg) S.A.
BE,XS2156598281,Akzo Nobel N.V.
BE,XS2159887590,EXOR N.V.
BE,XS2166219720,ASML Holding N.V.
BE,XS2166754957,Schlumberger Finance B.V.
BE,XS2166755509,Schlumberger Finance B.V.
BE,XS2167595672,Eurofins Scientific SE
BE,XS2168629967,Heineken N.V.
BE,XS2168630205,Heineken N.V.
BE,XS2169243479,Swisscom Finance BV
BE,XS2169281487,CRH Funding BV
BE,XS2170362326,Nestlé Finance Intl Ltd.
BE,XS2170362672,Nestlé Finance Intl Ltd.
BE,XS2170362912,Nestlé Finance Intl Ltd.
BE,XS2170384130,Shell International Finance BV
BE,XS2170386853,Shell International Finance BV
BE,XS2170736180,Richemont Intl Holding S.A.
BE,XS2170736263,Richemont Intl Holding S.A.
BE,XS2171875839,CPI Property Group SA
BE,XS2175967343,Achmea B.V.
BE,XS2177013252,Reckitt Benckiser Treasury Services BV
BE,XS2177013765,Reckitt Benckiser Treasury Services BV
BE,XS2177443343,Mohawk Capital Finance S.A.
BE,XS2178457425,Richemont Intl Holding S.A.
BE,XS2178832379,"Stellantis N.V, Amsterdam"
BE,XS2178833773,"Stellantis N.V, Amsterdam"
BE,XS2185867830,Airbus SE
BE,XS2185867913,Airbus SE
BE,XS2185868051,Airbus SE
BE,XS2187525949,Alliander N.V.
BE,XS2189592889,SIG Combibloc
BE,XS2189594315,SIG Combibloc
BE,XS2190255211,ENEXIS Holding NV
BE,XS2190979489,Eustream AS
BE,XS2191362859,Digital Dutch Finco BV
BE,XS2193733503,Czech Gas Networks Investments S.a.r.l.
BE,XS2193968992,Upjohn Finance BV
BE,XS2193969370,Upjohn Finance BV
BE,XS2193978363,Koninklijke DSM NV
BE,XS2193979254,Koninklijke DSM NV
BE,XS2193982803,Upjohn Finance BV
BE,XS2193983108,Upjohn Finance BV
BE,XS2196317742,SES S.A.
BE,XS2198580271,Wolters Kluwer N.V.
BE,XS2199343513,ISS Finance B.V.
BE,XS2199351375,"Stellantis N.V, Amsterdam"
BE,XS2203802462,NE Property B.V.
BE,XS2211183244,PROSUS N.V
BE,XS2211183756,PROSUS N.V
BE,XS2225207468,Heimstaden Bostad Treasury B.V.
BE,XS2227050023,Royal Schiphol Group N.V.
BE,XS2227050379,Royal Schiphol Group N.V.
BE,XS2228897158,Akelius Residential Property Finance B.V.
BE,XS2229470146,Koninklijke KPN NV
BE,XS2231165668,Bevco Lux SARL
BE,XS2232115001,Digital Dutch Finco BV
BE,XS2232115423,Digital Dutch Finco BV
BE,XS2235986929,Mondelez Intl Hldgs Nether. BV
BE,XS2235987224,Mondelez Intl Hldgs Nether. BV
BE,XS2237302646,STG Global Finance BV
BE,XS2238342484,CTP B.V.
BE,XS2240063730,Diageo Capital BV
BE,XS2241825111,Global Switch Finance B.V.
BE,XS2251233651,Akelius Residential Property Finance B.V.
BE,XS2261215011,Holcim Finance (Luxembg) S.A.
BE,XS2262065159,TenneT Holding BV
BE,XS2262065233,TenneT Holding BV
BE,XS2263684180,Nestlé Finance Intl Ltd.
BE,XS2263684776,Nestlé Finance Intl Ltd.
BE,XS2263684933,Nestlé Finance Intl Ltd.
BE,XS2264194205,CTP B.V.
BE,XS2264980363,CNH Industrial Finance Euro.SA
BE,XS2270147924,BP Capital Markets PLC
BE,XS2273810510,Aroundtown SA
BE,XS2280835260,Digital Intrepid Holding BV
BE,XS2282101539,Grand City Properties S.A.
BE,XS2283188683,EXOR N.V.
BE,XS2284258345,Heimstaden Bostad Treasury B.V.
BE,XS2286044370,ABB Finance B.V.
BE,XS2286441964,Holcim Finance (Luxembg) S.A.
BE,XS2286442186,Holcim Finance (Luxembg) S.A.
BE,XS2288097483,Wizz Air Finance Company B.V.
BE,XS2290544068,CPI Property Group SA
BE,XS2291340433,SAGAX EURO MTN NL B.V. 
